Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Cosconius Hostius,42,8,Gaul,176,54,Hoplomachus,10,2,Novice,Spear,Low,Basic,0.7452501581541044,Low,2.30962240621191,Poor,Basic,Strong,12,Stoic,Good,Glory,Laborer,Medium,Balanced,Low,Flamboyant,True
Caecilius Valerius,30,20,Greece,173,67,Provocator,6,0,Agility,Dagger,High,Superior,0.570122220620966,Low,2.6095120427204916,Excellent,Expert,Strong,6,Aggressive,Excellent,Freedom,Laborer,Medium,Aggressive,High,Intimidating,False
Sempronius Aulus,30,20,Gaul,171,81,Hoplomachus,8,4,Endurance,Spear,Low,Basic,0.6053981535223177,Low,8.770731237200259,Poor,Advanced,Moderate,12,Calculative,Excellent,Wealth,Unemployed,Medium,Balanced,Medium,Charismatic,True
Lacerius Laberius,32,18,Rome,172,72,Retiarius,8,3,Novice,Net,High,Superior,0.6161901154368717,Low,1.047568348965484,Excellent,Intermediate,Strong,11,Stoic,Excellent,Freedom,Unemployed,Medium,Aggressive,High,Humble,True
Blaesus Modius,29,21,Gaul,177,87,Secutor,12,5,Tactics,Dagger,Medium,Standard,0.6457559688578928,High,4.524768751036016,Adequate,Advanced,Moderate,17,Stoic,Good,Survival,Entertainer,Medium,Balanced,Medium,Humble,True
Hortensius Gaius,23,27,Gaul,158,77,Murmillo,7,1,Speed,Gladius (Sword),Low,Basic,0.5729752199953057,Low,7.8859105085646135,Poor,Expert,Moderate,8,Fearful,Excellent,Wealth,Soldier,Medium,Aggressive,Medium,Intimidating,True
Lollius Nasennius,43,7,Greece,168,74,Hoplomachus,7,1,Agility,Dagger,Low,Basic,0.6705194459970397,Low,3.0265507870578165,Poor,Advanced,Moderate,8,Stoic,Good,Vengeance,Unemployed,Low,Aggressive,Low,Intimidating,True
Gaius Caninius,36,14,Rome,185,62,Secutor,13,8,Novice,Dagger,High,Superior,0.656334925142593,High,2.772185298917929,Excellent,Intermediate,Strong,21,Fearful,Good,Wealth,Unemployed,Low,Balanced,Medium,Intimidating,True
Petreius Memmius,33,17,Thrace,186,50,Provocator,7,0,Strength,Dagger,Low,Basic,0.8418530977042304,Low,8.687004114830323,Poor,Advanced,Strong,7,Stoic,Excellent,Wealth,Entertainer,Medium,Aggressive,High,Intimidating,True
Numerius Sextus,32,18,Greece,171,56,Provocator,8,1,Tactics,Gladius (Sword),High,Superior,0.782842156363212,Low,6.2845129163438465,Excellent,Advanced,Strong,9,Fearful,Excellent,Wealth,Criminal,Medium,Defensive,High,Charismatic,True
Fulcinia Fidenas,40,10,Gaul,184,84,Hoplomachus,5,2,Novice,Spear,Low,Basic,0.5514407100233845,Low,6.811896225927687,Poor,Intermediate,Moderate,7,Calculative,Good,Wealth,Laborer,Medium,Balanced,Medium,Intimidating,True
Cominius Calventius,44,6,Numidia,175,72,Murmillo,10,4,Novice,Dagger,Medium,Standard,0.6579567569220526,Low,1.2711444091110917,Adequate,Basic,Moderate,14,Calculative,Good,Vengeance,Entertainer,Low,Aggressive,Low,Charismatic,True
Fidenas Avidius,22,28,Rome,183,119,Secutor,5,1,Novice,Gladius (Sword),Medium,Standard,0.6007578892903868,Low,2.095360044362891,Adequate,Intermediate,Moderate,6,Aggressive,Excellent,Vengeance,Criminal,Medium,Balanced,Medium,Intimidating,True
Naevius Cornificius,23,27,Thrace,192,68,Murmillo,8,3,Agility,Gladius (Sword),High,Superior,0.6476218217665333,Low,10.592005059287244,Excellent,Advanced,Strong,11,Fearful,Excellent,Glory,Soldier,Medium,Balanced,Low,Charismatic,True
Livius Duronius,43,7,Greece,182,94,Retiarius,10,4,Novice,Net,High,Superior,0.6672089739213984,Low,5.0223692474180615,Excellent,Basic,Strong,14,Stoic,Good,Vengeance,Unemployed,Medium,Balanced,High,Charismatic,True
Aulus Afranius,33,17,Germania,185,108,Murmillo,5,2,Novice,Gladius (Sword),High,Superior,0.4881845202825382,Low,3.2446275602833614,Excellent,Intermediate,Strong,7,Fearful,Excellent,Survival,Criminal,Medium,Balanced,Low,Intimidating,False
Oppius Hortensius,40,10,Germania,180,87,Hoplomachus,12,5,Novice,Spear,Medium,Standard,0.6643593694046172,Low,7.082261605632115,Adequate,Basic,Moderate,17,Calculative,Good,Survival,Laborer,Medium,Balanced,Low,Humble,True
Quintus Messalla,30,20,Gaul,178,80,Retiarius,7,1,Novice,Net,Low,Basic,0.6061965699507451,Low,1.0317334823160604,Poor,Intermediate,Moderate,8,Calculative,Excellent,Glory,Criminal,Medium,Balanced,Medium,Intimidating,True
Sextus Palpellius,31,19,Rome,182,93,Retiarius,7,1,Tactics,Net,Medium,Standard,0.610299645385642,Low,6.042532320872964,Adequate,Expert,Moderate,8,Calculative,Excellent,Freedom,Entertainer,Medium,Balanced,Low,Intimidating,True
Fabrinius Considius,34,16,Germania,178,91,Secutor,13,1,Novice,Gladius (Sword),Low,Basic,1.0086606866759973,High,4.307409921869836,Poor,Basic,Strong,14,Stoic,Good,Survival,Unemployed,Low,Aggressive,High,Flamboyant,True
Maecilius Fabrinius,42,8,Greece,192,102,Secutor,8,0,Novice,Gladius (Sword),Low,Basic,0.9046096139272729,Low,2.9627915649268024,Poor,Basic,Strong,8,Stoic,Good,Survival,Laborer,Medium,Aggressive,Medium,Charismatic,True
Naevius Ovidius,40,10,Greece,178,101,Secutor,9,1,Novice,Gladius (Sword),Medium,Standard,0.7346310507987587,Low,6.485995551021387,Adequate,Intermediate,Strong,10,Stoic,Good,Freedom,Entertainer,Low,Balanced,High,Flamboyant,True
Fundanus Tiberius,37,13,Greece,188,95,Murmillo,11,2,Agility,Dagger,Low,Basic,0.878019163308377,High,5.52579339130484,Poor,Expert,Strong,13,Stoic,Fair,Glory,Unemployed,Medium,Balanced,Medium,Humble,True
Cassius Nonius,19,31,Thrace,179,77,Secutor,5,0,Agility,Gladius (Sword),Low,Basic,0.5637818301706754,Low,4.60428998973167,Poor,Advanced,Moderate,5,Calculative,Excellent,Freedom,Laborer,High,Balanced,Low,Humble,True
Burrienus Numerius,30,20,Greece,194,65,Hoplomachus,4,0,Novice,Spear,High,Superior,0.638360731174602,Low,6.339598433475727,Excellent,Basic,Strong,4,Fearful,Excellent,Glory,Laborer,Low,Balanced,High,Intimidating,True
Lartius Albinius,28,22,Germania,166,110,Hoplomachus,5,0,Novice,Spear,High,Superior,0.59385901089856,Low,5.874782870997622,Excellent,Intermediate,Strong,5,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Humble,True
Geminius Sempronius,19,31,Thrace,187,110,Retiarius,5,1,Endurance,Net,High,Superior,0.47518605174559886,Low,8.57117673294694,Excellent,Advanced,Strong,6,Calculative,Excellent,Vengeance,Soldier,Medium,Aggressive,High,Intimidating,True
Appius Nasidienus,18,32,Germania,188,68,Hoplomachus,1,0,Endurance,Spear,High,Superior,0.4591098057407521,Low,7.116339938197187,Excellent,Advanced,Strong,1,Stoic,Excellent,Glory,Laborer,Medium,Balanced,Medium,Intimidating,False
Caninius Aquillius,30,20,Gaul,156,118,Secutor,10,4,Novice,Gladius (Sword),Low,Basic,0.7198370221684013,Low,4.14140281045649,Poor,Intermediate,Strong,14,Stoic,Excellent,Vengeance,Criminal,Medium,Balanced,Medium,Flamboyant,True
Gabinius Hirrus,19,31,Gaul,184,86,Thraex,9,0,Speed,Sica (Curved Sword),High,Superior,0.9213317362814784,High,3.87417860294857,Excellent,Expert,Strong,9,Stoic,Excellent,Glory,Laborer,Medium,Aggressive,High,Humble,True
Servius Camillius,24,26,Greece,190,125,Secutor,8,1,Novice,Dagger,Medium,Standard,0.8116816208240786,Low,5.4650830351807755,Adequate,Intermediate,Strong,9,Aggressive,Excellent,Glory,Soldier,Medium,Aggressive,High,Humble,True
Aulus Paternus,41,9,Thrace,166,85,Hoplomachus,8,5,Novice,Dagger,Low,Basic,0.5269219261297329,Low,4.3458861810962475,Poor,Basic,Moderate,13,Aggressive,Good,Glory,Entertainer,Low,Balanced,Low,Intimidating,True
Lucretius Valerius,31,19,Germania,178,73,Secutor,3,0,Novice,Dagger,Low,Basic,0.6265386471159736,Low,3.8572121963987143,Poor,Intermediate,Moderate,3,Calculative,Excellent,Glory,Entertainer,Medium,Balanced,Medium,Humble,True
Cosconius Avidius,34,16,Rome,160,122,Thraex,11,1,Novice,Sica (Curved Sword),High,Superior,0.8297023384963662,Low,5.423004019728563,Excellent,Intermediate,Strong,12,Calculative,Excellent,Wealth,Criminal,Medium,Aggressive,High,Intimidating,False
Julius Catilius,27,23,Numidia,166,64,Provocator,7,1,Speed,Dagger,Low,Basic,0.7189888181813401,High,2.687136571271276,Poor,Advanced,Strong,8,Stoic,Good,Glory,Entertainer,Medium,Balanced,High,Humble,False
Gracchus Hirrus,33,17,Gaul,190,90,Thraex,10,3,Novice,Sica (Curved Sword),Low,Basic,0.7412145809557729,High,1.7554333002314073,Poor,Intermediate,Strong,13,Stoic,Good,Survival,Entertainer,Medium,Aggressive,High,Flamboyant,True
Pacilius Messalla,26,24,Rome,183,107,Murmillo,2,0,Tactics,Gladius (Sword),Low,Basic,0.6558699352788651,Low,2.3741625914614928,Poor,Advanced,Moderate,2,Stoic,Excellent,Survival,Criminal,Medium,Aggressive,Medium,Charismatic,False
Considius Galerius,24,26,Numidia,170,63,Provocator,4,2,Agility,Dagger,Low,Basic,0.45799633664057593,Low,4.225074809091052,Poor,Advanced,Moderate,6,Stoic,Excellent,Wealth,Criminal,High,Aggressive,Medium,Charismatic,False
Furius Baebius,44,6,Thrace,186,67,Provocator,9,1,Novice,Gladius (Sword),Medium,Standard,0.7044687822014476,Low,3.012309999405512,Adequate,Basic,Strong,10,Stoic,Good,Glory,Unemployed,Medium,Aggressive,Medium,Flamboyant,True
Numonius Galerius,31,19,Greece,179,125,Murmillo,13,0,Novice,Dagger,Low,Basic,0.8794519731031002,High,1.099764752940248,Poor,Intermediate,Strong,13,Calculative,Good,Survival,Entertainer,Low,Aggressive,Medium,Intimidating,True
Caecilius Foslius,21,29,Rome,174,94,Provocator,2,0,Tactics,Gladius (Sword),Low,Basic,0.549857058841292,Low,5.824727764182932,Poor,Advanced,Moderate,2,Fearful,Excellent,Freedom,Laborer,Low,Aggressive,Medium,Intimidating,False
Hortensius Festinius,34,16,Greece,168,53,Retiarius,5,0,Strength,Net,High,Superior,0.843780429482533,Low,5.806840422836643,Excellent,Expert,Strong,5,Calculative,Excellent,Survival,Entertainer,Medium,Defensive,High,Intimidating,True
Latinius Cocceius,40,10,Germania,183,90,Secutor,10,3,Novice,Gladius (Sword),Low,Basic,0.7810623871208685,High,0.9153125484183879,Poor,Basic,Strong,13,Fearful,Fair,Survival,Entertainer,Low,Balanced,Medium,Charismatic,True
Orchius Calpurnius,18,32,Greece,189,87,Retiarius,6,2,Speed,Net,Medium,Standard,0.5580654744522326,Low,3.104904899374429,Adequate,Advanced,Moderate,8,Calculative,Excellent,Freedom,Soldier,High,Aggressive,Low,Intimidating,True
Cominius Caecilius,36,14,Greece,173,98,Retiarius,11,2,Novice,Net,Low,Basic,0.8171236101638577,Low,5.707204299584884,Poor,Basic,Strong,13,Fearful,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Humble,True
Livius Lucretius,20,30,Rome,186,81,Thraex,8,1,Novice,Dagger,Low,Basic,0.8119689437409334,Low,3.9797313026924668,Poor,Intermediate,Strong,9,Calculative,Excellent,Glory,Laborer,Medium,Aggressive,Medium,Intimidating,True
Baebius Cornificius,42,8,Germania,195,77,Hoplomachus,6,0,Novice,Dagger,High,Superior,0.6423017661827792,Low,0.9594704481602752,Excellent,Basic,Strong,6,Aggressive,Good,Freedom,Laborer,Medium,Aggressive,Medium,Intimidating,True
Lentulus Sextius,37,13,Gaul,175,75,Murmillo,8,1,Novice,Dagger,Medium,Standard,0.7634249851483131,Low,6.318462785733496,Adequate,Basic,Strong,9,Aggressive,Good,Wealth,Laborer,Medium,Aggressive,Medium,Flamboyant,True
Blossius Pettius,37,13,Germania,175,100,Retiarius,8,6,Novice,Net,Medium,Standard,0.44543008950805035,Low,5.295155803541599,Adequate,Basic,Moderate,14,Aggressive,Good,Wealth,Entertainer,Low,Balanced,Low,Intimidating,True
Mescinius Memmius,19,31,Gaul,170,83,Secutor,5,0,Novice,Gladius (Sword),Medium,Standard,0.6604161777024059,Low,6.725504002336736,Adequate,Intermediate,Moderate,5,Calculative,Excellent,Freedom,Unemployed,Medium,Aggressive,Medium,Intimidating,True
Egnatius Terentius,18,32,Germania,179,94,Hoplomachus,4,0,Tactics,Spear,Medium,Standard,0.6546815940908497,Low,6.1212589073129,Adequate,Advanced,Moderate,4,Aggressive,Excellent,Survival,Entertainer,Medium,Balanced,Medium,Humble,True
Hordeonius Numonius,41,9,Rome,170,81,Provocator,3,0,Novice,Dagger,Medium,Standard,0.582581649457255,Low,2.1224882243211605,Adequate,Basic,Moderate,3,Fearful,Good,Glory,Entertainer,Medium,Balanced,Medium,Humble,True
Licinius Catius,39,11,Germania,178,79,Thraex,9,4,Novice,Sica (Curved Sword),Low,Basic,0.6601351028828248,Low,4.698412656510126,Poor,Basic,Moderate,13,Aggressive,Good,Glory,Criminal,Medium,Aggressive,Medium,Intimidating,True
Lartius Mescinius,26,24,Germania,181,85,Secutor,3,0,Novice,Gladius (Sword),Medium,Standard,0.5765882808176165,Low,8.437777554274046,Adequate,Intermediate,Moderate,3,Stoic,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Charismatic,True
Albinius Vibius,31,19,Greece,181,88,Retiarius,4,0,Agility,Net,Medium,Standard,0.5274298962912278,Low,7.2456420175031235,Adequate,Advanced,Moderate,4,Fearful,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Intimidating,True
Laronius Aelius,27,23,Gaul,181,91,Thraex,7,2,Speed,Dagger,Low,Basic,0.6438438360750948,Low,8.921457962377865,Poor,Advanced,Moderate,9,Fearful,Excellent,Glory,Entertainer,Low,Aggressive,Medium,Intimidating,True
Pettius Pinarus,21,29,Thrace,173,57,Provocator,4,0,Agility,Dagger,High,Superior,0.6709552897265406,Low,5.784731675109053,Excellent,Expert,Strong,4,Aggressive,Excellent,Freedom,Entertainer,Medium,Aggressive,High,Intimidating,True
